"","code","country","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Dominica","Grenada","St. Lucia","St. Vincent and the Grenadines","Antigua & Barbuda","St. Kitts and Nevis","Mexico","Belize","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Monaco","Liechtenstein","Switzerland","Spain","Andorra","Portugal","Bavaria","Germany","German Federal Republic","German Democratic Republic","Baden","Wuerttemburg","Poland","Austria-Hungary","Austria","Hungary","Czechoslovakia","Czech Republic","Slovakia","Italy","San Marino","Malta","Albania","Montenegro","Macedonia","Croatia","Yugoslavia","Bosnia and Herzegovina","Kosovo","Slovenia","Greece","Cyprus","Bulgaria","Moldova","Romania","Russia","Estonia","Latvia","Lithuania","Ukraine","Belarus","Armenia","Georgia","Azerbaijan","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Zanzibar","Burundi","Rwanda","Somalia","Djibouti","Ethiopia","Eritrea","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Namibia","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","South Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","Turkmenistan","Tajikistan","Kyrgyzstan","Uzbekistan","Kazakhstan","China","Mongolia","Taiwan","Korea","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Singapore","Brunei","Philippines","Indonesia","East Timor","Australia","Papua New Guinea","New Zealand","Vanuatu","Solomon Islands","Kiribati","Tuvalu","Fiji","Tonga","Nauru","Marshall Islands","Palau","Federated States of Micronesia","Samoa"
"1",1,"United States of America",NA,66911.102,1218.2,0,394.5,1067.5,415,1411.2,256.5,0.57217741,0.98400003,0,0,0,0,18266.9,47.700001,479,450,406.20001,68.800003,543.59998,364.79999,1253,6819.6001,87.599998,111.8,1803.8,1401.5,8272.7998,159.60001,44,870.70001,1041.5,576.40002,15044.3,873.79999,4329.2998,3129.2261,158.0741,8516.4004,NA,NA,3199.2,2628.1001,NA,518.90002,NA,NA,-9,167.2,NA,NA,244.39999,NA,759.5,241.8,95.800003,NA,NA,8504.0996,NA,19,2.5,NA,NA,NA,527.29999,NA,NA,NA,383.10001,30.299999,31,NA,968.90002,600.20001,NA,NA,NA,NA,NA,NA,NA,NA,857,3426.5,2003.8,1517.8,218.8,-9,0,0,0.80000001,0.69999999,1.2,2.7,0.30000001,1,0.69999999,498.39999,138.3,0.027462782,117.9,40.799999,51.099998,36.900002,750.59998,2605.3,707.29999,3.3,0.1,1054.5,518.09998,97.400002,68.800003,12.8,NA,2,17.700001,0.80000001,0.1,88.900002,NA,1053.5,26.1,128.7,75.199997,32.5,2577.2,NA,-9,58.200001,24,74.099998,2.0999999,53.299999,0.30000001,39.099998,3770.5,31.299999,9.6000004,22.1,NA,729.90002,463.89999,129.3,182,2.0999999,7.6999998,4.5999999,1809.4,4008.8,8.5,NA,17.4,279.79999,56.400002,52.299999,1277.8,170.2,13.9,NA,NA,NA,NA,NA,3381.3999,2.4000001,16088.1,NA,-9,10027.4,60371.301,2736.8999,-9,267.60001,159,14.7,302.10001,0,8.3000002,1425.6,0.1,2.2,0.1,NA,2824.7,4120.6001,10.5,2622.2,5867.3999,NA,2899,29.299999,879.5,0.00049378572,1.052,NA,NA,25.48,NA,NA,NA,NA,NA,6.5999999
"2",2,"Canada",57898.301,NA,107.9,54.5,14.3,26.5,117.4,15.8,6.4000001,0.02148,0.53100002,0,0,0,0,1142.4,2.7,30.9,25.9,20.5,39,32.799999,34.099998,93.400002,1035,22.1,1,70.800003,86.699997,565.79999,7,2.3,104.5,78.400002,14.2,1967.8,158.10001,461.10001,361.15601,18.24395,1035.6,NA,NA,326.70001,267.39999,NA,51.700001,NA,NA,-9,25.9,NA,NA,48.900002,NA,131.8,26,55.099998,NA,NA,946,NA,2.0999999,0,NA,NA,NA,32.900002,NA,NA,NA,35,9.5,5.3000002,NA,40.400002,24.299999,NA,NA,NA,NA,NA,NA,NA,NA,125.7,492.89999,113.6,170.3,2.4000001,-9,0,0,0,0,0,0.1,0.013731391,0,0.0089254044,32.799999,8.5,0.81472921,0.0020000001,0,0.89999998,0,0.89999998,217.7,5.4000001,0,0,0.20162259,11.7,0.89999998,13.2,3.7,NA,0,0,0.003,0,0.1,NA,0,0.5,0.2,7.8000002,2.5,188.3,NA,0,0,0,1.4,0,7.9000001,0,11.7,258.70001,19.799999,61.099998,0.5,NA,152.3,22.5,0,62.200001,0.1,0.60000002,0,69.699997,1.2,0,NA,0.1,0.2,0.30000001,0.2,5.5999999,0.1,0.1,NA,NA,NA,NA,NA,283.79999,-9,1039.2,NA,0.30000001,977.90002,4851.2002,125.1,-9,45.599998,12.5,0.2,28.700001,0,0.1,87.900002,0,0,1.9,NA,143.2,182.39999,0,100.3,61.099998,NA,323.39999,3,103.6,0,0,NA,NA,5.0999999,NA,NA,NA,NA,NA,0
"3",3,"Bahamas",760.08899,45.27,NA,0.13699999,0.90899998,0.114,1.909,2.9159999,0.66000003,0,0,0.012,0,0.0049999999,0,487.32101,0.013,0.07,0.003,0.0020000001,0,0.022,2.227,6.7930002,0.94199997,0.0080000004,0.0040000002,0.0060000001,29.766001,1.905,0,0,0.001,0.285,0.068000004,318.01099,0.82200003,4.7989998,1.903827,0.096172601,8.6230001,NA,NA,9.25,1.845,NA,0.054000001,NA,NA,-9,-9,NA,NA,0,NA,0.73199999,0.71700001,0.0070000002,NA,NA,4.3280001,NA,0,-9,NA,NA,NA,0.0089999996,NA,NA,NA,0.28200001,0.011,0,NA,0,0.29100001,NA,NA,NA,NA,NA,NA,NA,NA,0.050000001,0.46599999,0.028000001,3.608,0,-9,-9,-9,-9,0,-9,0,-9,-9,-9,19.035999,-9,-9,0.048,0,0.0049999999,-9,-9,987.75702,69.873001,-9,-9,0,0,-9,0.001,0.001,NA,-9,-9,0,-9,0,NA,175.918,-9,0,0,0,0.0099999998,NA,-9,-9,-9,-9,-9,0.0040000002,0,0,17.094,0,65.808998,-9,NA,38.161999,0.003,59.665001,0.032000002,0,0,-9,0.021,316.112,-9,NA,-9,0,0,10.959782,106.54297,-9,0,NA,NA,NA,NA,NA,15.304,-9,1.1670001,NA,0.013,0.97100002,3.6700001,19.615,-9,0.046999998,0,-9,0.0040000002,-9,-9,0.149,-9,-9,0,NA,57.463001,14.738,0,0.192,413.24799,NA,0.398,-9,1.323,-9,0,NA,NA,0,NA,NA,NA,NA,NA,0
"4",4,"Cuba",1.1,286.98999,0,NA,0,0,0.1584,0.20900001,0.0044,0,0,-9,-9,-9,-9,89.209999,0,0,0,0,1.483811,0.0055,1.8282,2.0680001,224.39999,2.4001999,0,0,0,0,0,0,0,257.103,0,94.599998,27.17,43.669998,12.87939,0.65060782,113.52,NA,NA,24.530001,196.306,NA,5.4229999,NA,NA,-9,0,NA,NA,42.591999,NA,13.75,83.666,119.09675,NA,NA,79.75,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,NA,124.322,0,NA,NA,NA,NA,NA,NA,NA,NA,4.0149999,43.009998,1.067,8.184,0,-9,-9,0,-9,-9,0,0,-9,0,0,0,-9,-9,0,-9,0,0,0,-9,0,0,0,0.4327448,-9,-9,-9,-9,NA,0,-9,0,-9,0,NA,-9,-9,0,0,-9,0,NA,-9,-9,-9,-9,-9,0,0,0,0,5.2140002,0,0,NA,0,0.23100001,0,0,0,0,0,0,0,0,NA,0,-9,0,-9,0,-9,-9,NA,NA,NA,NA,NA,104.28,-9,0,NA,0,0,274.67001,2.3911815,-9,0,0.92400002,0,0,-9,-9,9.9989996,-9,-9,0,NA,0.57200003,1.771,-9,0,0,NA,9.2950001,-9,5.2360001,-9,-9,NA,NA,0,NA,NA,NA,NA,NA,-9
"5",5,"Haiti",461.23001,16.17,0.4928,0,NA,7.0840001,0.96689999,16.016001,0.24860001,1.2222222e-05,-9,0,0,0,-9,0.66000003,0,1.80015,0,0.1496,0,0.43669999,0.1276,0.83600003,3.3,0,0.033,0,0.154,6.171,0,0,0,12.661,0,5.8299999,0.41800001,10.01,3.141315,0.15868481,18.59,NA,NA,2.53,1.276,NA,0.132,NA,NA,-9,0,NA,NA,0,NA,1.21,0,1.0598153,NA,NA,6.5999999,NA,0,-9,NA,NA,NA,0,NA,NA,NA,0,0,0,NA,0,-9,NA,NA,NA,NA,NA,NA,NA,NA,0.28600001,0.44,1.54,1.221,0,-9,-9,-9,-9,-9,-9,0.0484,0,-9,-9,0,0,0,0,-9,0,0,0,0,0,0,-9,0,0,-9,0,0,NA,0,0,-9,0,0,NA,-9,0,0,0,-9,0,NA,-9,-9,-9,0,-9,0,-9,0,0,0,0,-9,NA,-9,0,0,0,0,0,0,0.99000001,-9,-9,NA,-9,-9,0,-9,0,-9,-9,NA,NA,NA,NA,NA,0.44,-9,11.44,NA,-9,5.2800002,32.669998,0,-9,0.011,0,-9,0.0011,-9,-9,0.14300001,0,-9,0,NA,0,0,-9,0,0,NA,0.704,0,0.396,-9,-9,NA,NA,-9,NA,NA,NA,NA,NA,-9
"6",6,"Dominican Republic",472.45999,21.139999,0.059999999,0.0099999998,11.65,NA,3.0799999,0.62,0.001,0,0.02,0,0,0,0,162.44,0.63,4.0900002,0.5,1.14,0.0099999998,2.28,12.87,4.8699999,366,0,1.63,0.0099999998,0.33000001,23.68,0,0.0099999998,4.6799998,22.33,0.039999999,12.83,0.02,16.23,7.9008842,0.3991164,10.29,NA,NA,3.3399999,30.75,NA,0.50999999,NA,NA,-9,0.1,NA,NA,0.029999999,NA,0.43000001,0.0099999998,0.079999998,NA,NA,10.76,NA,0,0,NA,NA,NA,0.11,NA,NA,NA,0.41999999,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.52999997,1.85,3.0599999,0.98000002,0.77999997,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0.0020000001,-9,-9,-9,0,0,-9,-9,-9,-9,-9,-9,0,0,NA,-9,-9,-9,0,0,NA,-9,0,0,0,0,0.5,NA,-9,0,-9,0,-9,0,-9,0,0,0,1.0700001,0,NA,0,0,0,0,-9,0,0,0.79000002,0.75,-9,NA,0,-9,0,-9,-9,0,0,NA,NA,NA,NA,NA,0.090000004,0,17.639999,NA,0,5.5100002,64.5,0.17,-9,0.039999999,0.0099999998,0,0.23999999,-9,-9,0.02,0,0,0,NA,0.050000001,0.38999999,0,0.090000004,0.12,NA,0.14,0,7.8000002,-9,-9,NA,NA,-9,NA,NA,NA,NA,NA,-9
"7",7,"Jamaica",544.70502,64.573997,0.02,0,0.33700001,7.6350002,NA,24.118999,4.671,3.9159999,0.02,2.017,0.001,0.433,0.097999997,15.955,1.272,4.4780002,0.19499999,0,0,0.49700001,5.8959999,21.617001,94.211998,1.358,0.118,6.0869999,0.11,9.1540003,0,0,0.068999998,0.676,0.36700001,63.115002,0.92299998,10.978,5.1117759,0.2582235,9.9399996,NA,NA,4.7119999,1.7130001,NA,0.74000001,NA,NA,-9,1.101,NA,NA,0.148,NA,0.44800001,0.039999999,0.178,NA,NA,7.4070001,NA,0,-9,NA,NA,NA,0.0099999998,NA,NA,NA,0.308,0,0,NA,0.0080000004,3.017,NA,NA,NA,NA,NA,NA,NA,NA,0.61500001,2.6259999,4.4549999,1.142,0.0099999998,-9,-9,0,-9,0,0,0,-9,0,-9,0,0,-9,0,0,0,0.0089999996,0.0080000004,0,0,-9,0,0,0,0,0.057,0,NA,0,-9,0.0049999999,0,0.0020000001,NA,0,0,0,0.001,0,0,NA,0,0,0,0,-9,0.001,0,0.001,0,0,0,0,NA,0,0.0070000002,0,0.0049999999,0,0,0,0.99900001,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0.96600002,0,5.598,NA,0,3.575,33.022999,0.39300001,-9,0.014,0.022,0,0.234,-9,-9,1.326,0,0,-9,NA,0.354,0.80400002,0,0.046999998,0.63200003,NA,0.30700001,0,3.016,0,-9,NA,NA,0,NA,NA,NA,NA,NA,-9
"8",8,"Trinidad and Tobago",737.71002,132.53,0.22,0.059999999,0.86000001,8.6300001,35.509998,NA,37.360001,3.614043,3.9400001,0,0,0,0,2.4000001,10.7,1.6900001,23.620001,1.91,0.0099999998,1.9400001,1.89,6.52,9.1899996,21.02,0.74000001,0,0.67000002,53.310001,0,0,0.31999999,3.96,0.46000001,186.89,6.1799998,31.690001,11.79421,0.59578949,57.400002,NA,NA,9.8999996,10.39,NA,1.15,NA,NA,-9,0.49000001,NA,NA,0.16,NA,3.1600001,0.17,1.14,NA,NA,23.67,NA,0.029999999,0,NA,NA,NA,0.12,NA,NA,NA,0.43000001,0.029999999,0,NA,0.07,0.2,NA,NA,NA,NA,NA,NA,NA,NA,5.0500002,14.22,5.04,14.78,0.001,-9,-9,0,0,0,-9,0,0,0,0,0,0,0,0.02,0,0.02,0,0,0.029999999,0,0,0,0,0,0,0.059999999,0.07,NA,-9,0.029999999,0,-9,0,NA,0,0,0.039999999,0,0.0099999998,0,NA,0,0,0.039999999,0,-9,0,0,0.58999997,1.27,0,0,0,NA,0,1.58,0.029999999,0,0,0,0,0.74000001,0,0,NA,0,0,0,-9,0.084290326,0,0.0099999998,NA,NA,NA,NA,NA,8.8800001,-9,42.900002,NA,0.46000001,12.98,213.24001,6.4699998,-9,0.079999998,0,0,0.23999999,0.0099999998,0,0.64999998,-9,-9,0,NA,0.44,3.5,0,0.38,0.02,NA,27.77,0.02,15.87,-9,-9,NA,NA,0,NA,NA,NA,NA,NA,0
"9",9,"Barbados",315.52399,37.130001,0.044,0.38699999,0.113,0.142,11.689,56.401001,NA,0.81099999,0.147,0,0,0,0,1.075,0.052000001,0.47799999,3.444,0,0,0.36399999,0.18099999,1.2589999,19.445,3.283,0.094999999,0,0.242,7.4439998,0,0,0.88,1.357,0.197,49.151001,0.96799999,5.348,3.3983321,0.1716681,5.4780002,NA,NA,2.125,1.4859999,NA,0.164,NA,NA,-9,0.015,NA,NA,0.052000001,NA,1.0650001,0.077,0.30500001,NA,NA,4.0619998,NA,0.050000001,0,NA,NA,NA,0.048,NA,NA,NA,0.039000001,0.044,0,NA,0.15000001,0.041999999,NA,NA,NA,NA,NA,NA,NA,NA,0.73500001,1.175,3.1440001,2.4200001,0,-9,-9,0,0,0,0,0,0,-9,0,0,0,-9,0,0,0,-9,-9,0.039000001,0,-9,-9,0,0,0,0.035,0,NA,0,-9,0,0,0,NA,0,0,0,0.001,0,0,NA,-9,0,-9,0,0,0,0,0.001,0,0,0,0.001,NA,0.001,0.0060000001,0,0.003,0,0,0,0.226,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1.096,-9,5.5700002,NA,0,1.918,25.011999,0.72000003,-9,0.016000001,0,0.0040000002,0.161,0,0,0.484,0.07,-9,-9,NA,1.26,0.46000001,-9,2.1800001,0.396,NA,5.638,0,7.4060001,-9,0,NA,NA,0,NA,NA,NA,NA,NA,-9
"10",10,"Dominica",16.746447,4.4329133,0.00047407407,0,0.041739259,0.67675185,0.88684666,4.4505739,1.2731733,NA,0.032469999,3.1662712,1.672333,0.21890222,0.17525333,0.020124445,0,0.37901592,0,0,-9,0.023934074,0.049225926,0.029272223,0.020526296,0.23078592,0.024002964,0,0,0.20494223,-9,-9,0.0002862963,0.04022111,0.0021985185,7.4205232,0.003477037,1.8289663,0.095191397,0.0048086001,0.54716706,NA,NA,0.23542073,0.077825554,NA,0.019835927,NA,NA,-9,0.0062733334,NA,NA,0.00035666666,NA,0.0032288888,0.0014962963,0.027307037,NA,NA,0.32440147,NA,0,-9,NA,NA,NA,0.00020222222,NA,NA,NA,0.001057037,0,-9,NA,0.00062444445,0.01287037,NA,NA,NA,NA,NA,NA,NA,NA,0.0070777778,0.076436296,0.11719777,0.36184406,0,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,0,-9,-9,-9,-9,0.0062792595,-9,0,0,-9,0,-9,-9,-9,-9,0.00014740741,0.012307778,NA,-9,-9,0,-9,0,NA,-9,0.012432222,0,0.097155929,0,0,NA,0,0,0,0,-9,0,0,3.2962962e-05,0.0020018518,-9,0,0,NA,3.7037036e-05,0,0,0,-9,0,0,0.32928851,0,0,NA,0,-9,-9,-9,0,0,-9,NA,NA,NA,NA,NA,0.4522337,-9,0.26991999,NA,0.00048185186,0.18391815,5.8137965,0.017321482,-9,7.4074073e-06,0,-9,0.00018333334,-9,-9,0.00023962963,-9,-9,-9,NA,0.0087355552,0.069492966,-9,1.2962963e-05,0,NA,0.015784444,-9,0.055713702,-9,-9,NA,NA,0,NA,NA,NA,NA,NA,-9
